time,x_F_body_mean,x_F_body_median,y_F_body_mean,y_F_body_median,n_F_body_mean,n_F_body_median,x_F_earth_mean,x_F_earth_median,y_F_earth_mean,y_F_earth_median,n_F_earth_mean,n_F_earth_median
27.25,-3.770457835760756,-3.724858712323692,-49.92436057848853,-50.31353028543337,-19.956290984842905,-20.296361190079566,49.73721238282007,49.91160450942053,5.733050227871948,5.7432962235790015,-19.956290984842898,-20.296361190079566
27.5,-4.185394934733481,-4.2126938154330285,-49.94901532786516,-51.061036719996366,-19.542860916620917,-16.451836821882345,49.72467561556486,50.44081501043579,6.314926703009928,6.599752131652675,-19.54286091662091,-16.451836821882345
27.75,-4.578259673151882,-4.575580742171182,-49.41295442326301,-49.8042181230596,-18.764616423583973,-18.51458273865572,49.15785221710429,49.62996611256617,6.79014576748902,6.733439191275648,-18.764616423583973,-18.51458273865572
28.0,-4.670968302776356,-4.8054392377063255,-50.61685254345412,-50.75838366543901,-22.63198280959342,-22.473040922185042,50.20424412437329,50.13289628627572,7.9635160607678666,7.804770130018364,-22.631982809593424,-22.473040922185042
28.25,-4.8440527209866735,-5.163315408382621,-49.831498171790216,-50.27653014785003,-20.856129960545076,-20.29030887949763,49.327104339097204,49.57536447692328,8.57203679323041,8.458712371239773,-20.856129960545083,-20.29030887949763
28.5,-4.805168903178461,-4.667545103050257,-49.642744384143725,-49.89328764288966,-22.688642504240587,-22.033209118867628,48.95776085821015,49.10160845175872,9.519945739710181,9.390262116080804,-22.688642504240594,-22.033209118867628
28.75,-5.141365859713093,-5.285663674199683,-50.17402766129827,-50.29873000645296,-25.950423946574944,-24.39093541257258,49.370659985614296,49.394409375221116,10.315261904637508,10.407605635005778,-25.95042394657493,-24.39093541257258
29.0,-5.427086917421143,-5.807919794548239,-49.26875852508433,-50.559515935305406,-27.941062415139637,-26.556343352951153,48.39506963677007,49.11380750918215,10.713592976885762,9.990497426645586,-27.94106241513963,-26.556343352951153
29.25,-5.6325859816895045,-5.739310211263477,-49.07096014058528,-49.056680867895764,-25.468069791640836,-24.29107830712894,48.06154641431353,47.81047378442473,11.391791885268185,11.30593069410542,-25.468069791640847,-24.29107830712894
29.5,-6.059723075023005,-6.003289432972489,-48.63829104247022,-48.23068992463483,-25.256338790277404,-23.33935291426537,47.58068747316086,47.31488859282605,11.767827623398544,11.481588716415457,-25.256338790277404,-23.33935291426537
